,Ground energy,Opt_gamma_beta,Counts,Approx. ratio
0,4.0546875,[-0.82454537  0.30207847],"{'00000': 3, '00001': 16, '00010': 2, '00011': 17, '00100': 34, '00101': 115, '00110': 19, '00111': 115, '01000': 2, '01001': 18, '01010': 7, '01011': 34, '01100': 25, '01101': 82, '01110': 3, '01111': 13, '10000': 6, '10001': 1, '10010': 113, '10011': 13, '10100': 43, '10101': 2, '10110': 19, '10111': 1, '11000': 103, '11001': 19, '11010': 107, '11011': 35, '11100': 33, '11101': 1, '11110': 18, '11111': 5}",0.990234375
1,3.900390625,[-0.80324152  0.34114262],"{'00000': 7, '00001': 11, '00011': 19, '00100': 34, '00101': 112, '00110': 13, '00111': 111, '01000': 2, '01001': 24, '01010': 1, '01011': 44, '01100': 14, '01101': 109, '01110': 2, '01111': 18, '10000': 15, '10001': 4, '10010': 94, '10011': 15, '10100': 43, '10101': 3, '10110': 22, '10111': 4, '11000': 97, '11001': 18, '11010': 107, '11011': 37, '11100': 18, '11101': 1, '11110': 21, '11111': 4}",0.964111328125
2,3.2197265625,[-0.9301887   0.39452605],"{'00000': 1, '00001': 42, '00010': 9, '00011': 8, '00100': 27, '00101': 109, '00110': 18, '00111': 77, '01000': 9, '01001': 8, '01010': 15, '01011': 46, '01100': 15, '01101': 82, '01111': 53, '10000': 34, '10010': 68, '10011': 15, '10100': 52, '10101': 12, '10110': 11, '10111': 8, '11000': 100, '11001': 6, '11010': 106, '11011': 31, '11100': 7, '11101': 11, '11110': 43, '11111': 1}",0.83251953125
3,5.0107421875,[-0.82166504  0.34058882],"{'00000': 2, '00001': 20, '00010': 2, '00011': 12, '00100': 45, '00101': 123, '00110': 16, '00111': 98, '01000': 2, '01001': 18, '01010': 8, '01011': 41, '01100': 13, '01101': 97, '01110': 2, '01111': 20, '10000': 19, '10001': 1, '10010': 98, '10011': 19, '10100': 48, '10101': 2, '10110': 22, '10111': 1, '11000': 102, '11001': 21, '11010': 106, '11011': 24, '11100': 17, '11101': 3, '11110': 19, '11111': 3}",1.2421875
4,4.1650390625,[-0.81845351  0.34754726],"{'00000': 4, '00001': 30, '00010': 3, '00011': 16, '00100': 32, '00101': 115, '00110': 11, '00111': 101, '01000': 3, '01001': 17, '01010': 12, '01011': 44, '01100': 19, '01101': 104, '01110': 1, '01111': 12, '10000': 18, '10001': 2, '10010': 107, '10011': 10, '10100': 39, '10101': 11, '10110': 15, '10111': 2, '11000': 83, '11001': 14, '11010': 115, '11011': 38, '11100': 21, '11101': 1, '11110': 19, '11111': 5}",1.032958984375
5,2.171875,[-0.76441399  0.53942526],"{'00000': 21, '00001': 45, '00010': 9, '00011': 7, '00100': 23, '00101': 129, '00110': 12, '00111': 57, '01000': 13, '01001': 16, '01010': 13, '01011': 22, '01100': 12, '01101': 71, '01110': 5, '01111': 37, '10000': 61, '10001': 8, '10010': 65, '10011': 18, '10100': 15, '10101': 18, '10110': 6, '10111': 15, '11000': 59, '11001': 11, '11010': 131, '11011': 29, '11100': 5, '11101': 15, '11110': 55, '11111': 21}",0.526123046875
6,3.2939453125,[-0.87422529  0.318236  ],"{'00000': 2, '00001': 18, '00010': 2, '00011': 19, '00100': 32, '00101': 109, '00110': 15, '00111': 99, '01000': 4, '01001': 24, '01010': 4, '01011': 54, '01100': 19, '01101': 110, '01111': 23, '10000': 17, '10001': 2, '10010': 99, '10011': 14, '10100': 35, '10101': 7, '10110': 17, '10111': 5, '11000': 85, '11001': 16, '11010': 104, '11011': 31, '11100': 24, '11101': 3, '11110': 24, '11111': 7}",0.8193359375
7,5.6533203125,[-0.80797876  0.34691658],"{'00000': 5, '00001': 12, '00010': 2, '00011': 18, '00100': 35, '00101': 119, '00110': 29, '00111': 109, '01000': 3, '01001': 15, '01010': 3, '01011': 41, '01100': 15, '01101': 96, '01110': 2, '01111': 9, '10000': 13, '10001': 3, '10010': 121, '10011': 17, '10100': 28, '10101': 3, '10110': 24, '10111': 2, '11000': 85, '11001': 22, '11010': 114, '11011': 39, '11100': 19, '11110': 20, '11111': 1}",1.409912109375
8,3.6953125,[-0.65788098  0.18799968],"{'00000': 1, '00001': 1, '00010': 7, '00011': 38, '00100': 36, '00101': 94, '00110': 32, '00111': 110, '01000': 5, '01001': 33, '01011': 35, '01100': 30, '01101': 100, '01110': 1, '01111': 1, '10000': 2, '10001': 1, '10010': 90, '10011': 21, '10100': 45, '10101': 3, '10110': 25, '10111': 11, '11000': 72, '11001': 27, '11010': 103, '11011': 59, '11100': 36, '11101': 3, '11110': 1, '11111': 1}",0.923828125
9,4.353515625,[-0.75501469  0.30814386],"{'00000': 1, '00001': 13, '00011': 24, '00100': 34, '00101': 120, '00110': 12, '00111': 110, '01001': 23, '01010': 3, '01011': 36, '01100': 20, '01101': 112, '01110': 1, '01111': 10, '10000': 6, '10001': 4, '10010': 98, '10011': 14, '10100': 40, '10110': 22, '10111': 3, '11000': 113, '11001': 19, '11010': 121, '11011': 31, '11100': 27, '11110': 5, '11111': 2}",1.107666015625
10,4.3603515625,[-0.88781392  0.40007642],"{'00000': 4, '00001': 39, '00010': 10, '00011': 11, '00100': 21, '00101': 102, '00110': 16, '00111': 70, '01000': 3, '01001': 11, '01010': 12, '01011': 34, '01100': 9, '01101': 87, '01110': 2, '01111': 34, '10000': 41, '10001': 2, '10010': 93, '10011': 8, '10100': 44, '10101': 13, '10110': 19, '10111': 10, '11000': 92, '11001': 12, '11010': 127, '11011': 25, '11100': 18, '11101': 18, '11110': 36, '11111': 1}",1.11181640625
11,4.845703125,[-0.76029716  0.29890629],"{'00000': 5, '00001': 6, '00011': 30, '00100': 44, '00101': 120, '00110': 19, '00111': 114, '01000': 1, '01001': 12, '01010': 3, '01011': 28, '01100': 20, '01101': 113, '01110': 4, '01111': 2, '10000': 6, '10001': 2, '10010': 81, '10011': 25, '10100': 44, '10101': 1, '10110': 27, '10111': 1, '11000': 110, '11001': 19, '11010': 108, '11011': 42, '11100': 28, '11110': 1, '11111': 8}",1.201416015625
12,5.0,[-0.79763908  0.33679358],"{'00000': 6, '00001': 20, '00011': 31, '00100': 32, '00101': 114, '00110': 17, '00111': 114, '01001': 19, '01010': 5, '01011': 27, '01100': 15, '01101': 90, '01110': 3, '01111': 12, '10000': 13, '10001': 1, '10010': 105, '10011': 11, '10100': 46, '10101': 4, '10110': 24, '11000': 101, '11001': 17, '11010': 132, '11011': 37, '11100': 12, '11101': 1, '11110': 11, '11111': 4}",1.25927734375
